 variables=x,y,rho,u,v
 zone i=          100  j=          100
  0.199999988       9.99999978E-03  0.989633799      -1.95678338E-04   1.51833519E-05
  0.209999993       9.99999978E-03  0.989631593      -2.18356930E-04   1.54845311E-05
  0.219999999       9.99999978E-03  0.989630401      -2.41421207E-04   1.57480536E-05
  0.229999989       9.99999978E-03  0.989629984      -2.64807197E-04   1.59099254E-05
  0.239999995       9.99999978E-03  0.989630759      -2.88435636E-04   1.59870815E-05
  0.250000000       9.99999978E-03  0.989632607      -3.12080665E-04   1.60077561E-05
  0.259999990       9.99999978E-03  0.989635289      -3.35751654E-04   1.59644223E-05
  0.269999981       9.99999978E-03  0.989639103      -3.59329890E-04   1.58589610E-05
  0.280000001       9.99999978E-03  0.989643812      -3.82683618E-04   1.56913757E-05
  0.289999992       9.99999978E-03  0.989649713      -4.05739236E-04   1.54993049E-05
  0.299999982       9.99999978E-03  0.989656568      -4.28382016E-04   1.52074699E-05
  0.310000002       9.99999978E-03  0.989664376      -4.50551626E-04   1.48779827E-05
  0.319999993       9.99999978E-03  0.989673138      -4.72153944E-04   1.44920250E-05
  0.329999983       9.99999978E-03  0.989682972      -4.93160565E-04   1.40627708E-05
  0.340000004       9.99999978E-03  0.989693403      -5.13423118E-04   1.35827013E-05
  0.349999994       9.99999978E-03  0.989704907      -5.32950624E-04   1.30725157E-05
  0.359999985       9.99999978E-03  0.989717185      -5.51613455E-04   1.25134002E-05
  0.370000005       9.99999978E-03  0.989730299      -5.69319236E-04   1.18846556E-05
  0.379999995       9.99999978E-03  0.989744246      -5.86064300E-04   1.12521548E-05
  0.389999986       9.99999978E-03  0.989759028      -6.01735723E-04   1.05406216E-05
  0.399999976       9.99999978E-03  0.989774346      -6.16288453E-04   9.80087589E-06
  0.409999996       9.99999978E-03  0.989790499      -6.29692280E-04   9.03480031E-06
  0.419999987       9.99999978E-03  0.989807129      -6.41806284E-04   8.21981757E-06
  0.429999977       9.99999978E-03  0.989824295      -6.52666262E-04   7.41803069E-06
  0.439999998       9.99999978E-03  0.989842236      -6.62187464E-04   6.55605072E-06
